,constituents,symbol
657,EYE,^RUT
658,EYPT,^RUT
659,EZPW,^RUT
660,FA,^RUT
661,FARO,^RUT
662,FATE,^RUT
663,FBC,^RUT
664,FBIZ,^RUT
665,FBK,^RUT
666,FBMS,^RUT
667,FBNC,^RUT
668,FBP,^RUT
669,FBRT,^RUT
670,FC,^RUT
671,FCBC,^RUT
672,FCEL,^RUT
673,FCF,^RUT
674,FCFS,^RUT
675,FCPT,^RUT
676,FCUV,^RUT
677,FDMT,^RUT
678,FDP,^RUT
679,FEAM,^RUT
680,FELE,^RUT
681,FF,^RUT
682,FFBC,^RUT
683,FFIC,^RUT
684,FFIE,^RUT
685,FFIN,^RUT
686,FFWM,^RUT
687,FGBI,^RUT
688,FGEN,^RUT
689,FHI,^RUT
690,FHTX,^RUT
691,FIBK,^RUT
692,FIGS,^RUT
693,FISI,^RUT
694,FIX,^RUT
695,FIZZ,^RUT
696,FL,^RUT
697,FLGT,^RUT
698,FLIC,^RUT
699,FLL,^RUT
700,FLNC,^RUT
701,FLNG.OL,^RUT
702,FLR,^RUT
703,FLWS,^RUT
704,FLYW,^RUT
705,FMAO,^RUT
706,FMBH,^RUT
707,FMNB,^RUT
708,FMTX,^RUT
709,FN,^RUT
710,FNA,^RUT
711,FNKO,^RUT
712,FNLC,^RUT
713,FOA,^RUT
714,FOCS,^RUT
715,FOLD,^RUT
716,FOR,^RUT
717,FORG,^RUT
718,FORM,^RUT
719,FORR,^RUT
720,FOSL,^RUT
721,FOXF,^RUT
722,FPI,^RUT
723,FRBA,^RUT
724,FRBK,^RUT
725,FREE,^RUT
726,FRG,^RUT
727,FRME,^RUT
728,FRO.OL,^RUT
729,FRPH,^RUT
730,FRST,^RUT
731,FSBC,^RUT
732,FSLY,^RUT
733,FSP,^RUT
734,FSR,^RUT
735,FSS,^RUT
736,FTCI,^RUT
737,FTDR,^RUT
738,FUBO,^RUT
739,FUL,^RUT
740,FULC,^RUT
741,FULT,^RUT
742,FVCB,^RUT
743,FWRD,^RUT
744,FWRG,^RUT
745,FXLV,^RUT
746,GABC,^RUT
747,GAMB,^RUT
748,GATX,^RUT
749,GBCI,^RUT
750,GBIO,^RUT
751,GBL,^RUT
752,GBT,^RUT
753,GBX,^RUT
754,GCBC,^RUT
755,GCI,^RUT
756,GCMG,^RUT
757,GCO,^RUT
758,GCP,^RUT
759,GDEN,^RUT
760,GDOT,^RUT
761,GDYN,^RUT
762,GEF,^RUT
763,GEF.B,^RUT
764,GEO,^RUT
765,GERN,^RUT
766,GES,^RUT
767,GEVO,^RUT
768,GFF,^RUT
769,GHC,^RUT
770,GIC,^RUT
771,GIII,^RUT
772,GKOS,^RUT
773,GLDD,^RUT
774,GLNG,^RUT
775,GLRE,^RUT
776,GLT,^RUT
777,GLUE,^RUT
778,GMRE,^RUT
779,GMS,^RUT
780,GNK,^RUT
781,GNL,^RUT
782,GNTY,^RUT
783,GNW,^RUT
784,GOEV,^RUT
785,GOGL,^RUT
786,GOGO,^RUT
787,GOLF,^RUT
788,GOOD,^RUT
789,GOSS,^RUT
790,GPI,^RUT
791,GPMT,^RUT
792,GPOR,^RUT
793,GPRE,^RUT
794,GPRO,^RUT
795,GRBK,^RUT
796,GRC,^RUT
797,GREE,^RUT
798,GRNA,^RUT
799,GRPN,^RUT
800,GRWG,^RUT
801,GSAT,^RUT
802,GSBC,^RUT
803,GSHD,^RUT
804,GT,^RUT
805,GTLS,^RUT
806,GTN,^RUT
807,GTXI,^RUT
808,GTY,^RUT
809,GVA,^RUT
810,GWH,^RUT
811,GWRS,^RUT
812,HA,^RUT
813,HAE,^RUT
814,HAFC,^RUT
815,HAIN,^RUT
816,HALO,^RUT
817,HASI,^RUT
818,HAYN,^RUT
819,HBCP,^RUT
820,HBNC,^RUT
821,HBT,^RUT
822,HCAT,^RUT
823,HCC,^RUT
824,HCCI,^RUT
825,HCI,^RUT
826,HCKT,^RUT
827,HCSG,^RUT
828,HDSN,^RUT
829,HEAR,^RUT
830,HEES,^RUT
831,HELE,^RUT
832,HFFG,^RUT
833,HFWA,^RUT
834,HGV,^RUT
835,HI,^RUT
836,HIBB,^RUT
837,HIFS,^RUT
838,HIMS,^RUT
839,HIPO,^RUT
840,HL,^RUT
841,HLF,^RUT
842,HLGN,^RUT
843,HLI,^RUT
844,HLIO,^RUT
845,HLIT,^RUT
846,HLLY,^RUT
847,HLMN,^RUT
848,HLNE,^RUT
849,HLTH,^RUT
850,HLVX,^RUT
851,HLX,^RUT
852,HMN,^RUT
853,HMPT,^RUT
854,HMST,^RUT
855,HNGR,^RUT
856,HNI,^RUT
857,HNST,^RUT
858,HOMB,^RUT
859,HONE,^RUT
860,HOPE,^RUT
861,HOUS,^RUT
862,HOV,^RUT
863,HP,^RUT
864,HPK,^RUT
865,HQY,^RUT
866,HRI,^RUT
867,HRMY,^RUT
868,HRT,^RUT
869,HRTX,^RUT
870,HSC,^RUT
871,HSII,^RUT
872,HSKA,^RUT
873,HSTM,^RUT
874,HT,^RUT
875,HTBI,^RUT
876,HTBK,^RUT
877,HTH,^RUT
878,HTLD,^RUT
879,HTLF,^RUT
880,HUBG,^RUT
881,HUMA,^RUT
882,HURN,^RUT
883,HVT,^RUT
884,HWC,^RUT
885,HWKN,^RUT
886,HY,^RUT
887,HYFM,^RUT
888,HYLN,^RUT
889,HYMC,^RUT
890,HYZN,^RUT
891,HZO,^RUT
892,IAS,^RUT
893,IBCP,^RUT
894,IBEX,^RUT
895,IBOC,^RUT
896,IBP,^RUT
897,IBRX,^RUT
898,IBTX,^RUT
899,ICFI,^RUT
900,ICHR,^RUT
901,ICPT,^RUT
902,ICVX,^RUT
903,IDCC,^RUT
904,IDT,^RUT
905,IDYA,^RUT
906,IEA,^RUT
907,IESC,^RUT
908,IGMS,^RUT
909,IGT,^RUT
910,IHRT,^RUT
911,III,^RUT
912,IIIN,^RUT
913,IIIV,^RUT
914,IIPR,^RUT
915,ILPT,^RUT
916,IMAX,^RUT
917,IMGN,^RUT
918,IMGO,^RUT
919,IMKTA,^RUT
920,IMVT,^RUT
921,IMXI,^RUT
922,INBK,^RUT
923,INBX,^RUT
924,INDB,^RUT
925,INDI,^RUT
926,INDT,^RUT
927,INFN,^RUT
928,INGN,^RUT
929,INN,^RUT
930,INNV,^RUT
931,INO,^RUT
932,INSE,^RUT
933,INSG,^RUT
934,INSM,^RUT
935,INSP,^RUT
936,INST,^RUT
937,INSW,^RUT
938,INT,^RUT
939,INTA,^RUT
940,INVA,^RUT
941,INVE,^RUT
942,IONQ,^RUT
943,IOSP,^RUT
944,IOVA,^RUT
945,IPAR,^RUT
946,IPI,^RUT
947,IPSC,^RUT
948,IRBT,^RUT
949,IRDM,^RUT
950,IRMD,^RUT
951,IRNT,^RUT
952,IRT,^RUT
953,IRTC,^RUT
954,IRWD,^RUT
955,ISEE,^RUT
956,ISPO,^RUT
957,ITCI,^RUT
958,ITGR,^RUT
959,ITIC,^RUT
960,ITOS,^RUT
961,ITRI,^RUT
962,IVR,^RUT
963,IVT,^RUT
964,JACK,^RUT
965,JANX,^RUT
966,JBI,^RUT
967,JBSS,^RUT
968,JBT,^RUT
969,JELD,^RUT
970,JJSF,^RUT
971,JMSB,^RUT
972,JNCE,^RUT
973,JOAN,^RUT
974,JOBY,^RUT
975,JOE,^RUT
976,JOUT,^RUT
977,JRVR,^RUT
978,JXN,^RUT
979,JYNT,^RUT
980,KAI,^RUT
981,KALU,^RUT
982,KALV,^RUT
983,KAMN,^RUT
984,KAR,^RUT
985,KBAL,^RUT
986,KBH,^RUT
987,KDNY,^RUT
988,KE,^RUT
989,KELYA,^RUT
990,KFRC,^RUT
991,KFY,^RUT
992,KIDS,^RUT
993,KLIC,^RUT
994,KLR,^RUT
995,KMT,^RUT
996,KN,^RUT
997,KNBE,^RUT
998,KNSA,^RUT
999,KNSL,^RUT
